State,Year,Month,Month_Num,Date,Month_Total,Group,Category,Total,
Andhra Pradesh(84),2021,MAY,5,2021-05-01,52759,"Transport
7,781",-Educational Institution Bus,12,
Andhra Pradesh(84),2021,MAY,5,2021-05-01,52759,"Transport
7,781",-Ambulance,19,
Andhra Pradesh(84),2021,MAY,5,2021-05-01,52759,"Transport
7,781",-Cash Van,1,
Andhra Pradesh(84),2021,MAY,5,2021-05-01,52759,"Transport
7,781",-Omni Bus,5,
Andhra Pradesh(84),2021,MAY,5,2021-05-01,52759,"Transport
7,781",-Dumper,1,
Andhra Pradesh(84),2021,MAY,5,2021-05-01,52759,"Transport
7,781",-Excavator (Commercial),34,
Andhra Pradesh(84),2021,MAY,5,2021-05-01,52759,"Transport
7,781",-Trailer (Commercial),837,
Andhra Pradesh(84),2021,JUN,6,2021-06-01,67700,"Transport
7,781",-Articulated Vehicle,13,
Andhra Pradesh(84),2021,JUN,6,2021-06-01,67700,"Transport
7,781",-Mobile Canteen,637,
Andhra Pradesh(84),2021,JUN,6,2021-06-01,67700,"Transport
7,781",-Private Service Vehicle,16,
Andhra Pradesh(84),2021,JUN,6,2021-06-01,67700,"Transport
7,781",-Motor Cab,267,
Andhra Pradesh(84),2021,JUN,6,2021-06-01,67700,"Transport
7,781",-Bus,12,
Andhra Pradesh(84),2021,JUN,6,2021-06-01,67700,"Transport
7,781",-Educational Institution Bus,12,
Andhra Pradesh(84),2021,JUL,7,2021-07-01,76303,"Transport
6,904",-Articulated Vehicle,9,
Andhra Pradesh(84),2021,JUL,7,2021-07-01,76303,"Transport
6,904",-Tractor (Commercial),1271,
Andhra Pradesh(84),2021,JUL,7,2021-07-01,76303,"Transport
6,904",-Mobile Canteen,3,
Andhra Pradesh(84),2021,JUL,7,2021-07-01,76303,"Transport
6,904",-Private Service Vehicle,8,
Andhra Pradesh(84),2021,JUL,7,2021-07-01,76303,"Transport
6,904",-Motor Cab,251,
Andhra Pradesh(84),2021,JUL,7,2021-07-01,76303,"Transport
6,904",-Bus,18,
Andhra Pradesh(84),2021,JUL,7,2021-07-01,76303,"Transport
6,904",-Educational Institution Bus,7,
Andhra Pradesh(84),2021,JUL,7,2021-07-01,76303,"Transport
6,904",-Ambulance,21,
Andhra Pradesh(84),2021,AUG,8,2021-08-01,75479,"Transport
3,277",-Fire Tenders,3,
Andhra Pradesh(84),2021,AUG,8,2021-08-01,75479,"Transport
3,277",-Articulated Vehicle,10,
Andhra Pradesh(84),2021,AUG,8,2021-08-01,75479,"Transport
3,277",-Mobile Canteen,7,
Andhra Pradesh(84),2021,AUG,8,2021-08-01,75479,"Transport
3,277",-Private Service Vehicle,1,
Andhra Pradesh(84),2021,AUG,8,2021-08-01,75479,"Transport
3,277",-Motor Cab,203,
Andhra Pradesh(84),2021,AUG,8,2021-08-01,75479,"Transport
3,277",-Bus,11,
Andhra Pradesh(84),2021,AUG,8,2021-08-01,75479,"Transport
3,277",-Educational Institution Bus,7,
Andhra Pradesh(84),2021,AUG,8,2021-08-01,75479,"Transport
3,277",-Ambulance,52,
Andhra Pradesh(84),2021,AUG,8,2021-08-01,75479,"Transport
3,277",-Cash Van,1,
Andhra Pradesh(84),2021,AUG,8,2021-08-01,75479,"Transport
3,277",-Omni Bus,1,
Andhra Pradesh(84),2021,AUG,8,2021-08-01,75479,"Transport
3,277",-Excavator (Commercial),2,
Andhra Pradesh(84),2021,AUG,8,2021-08-01,75479,"Transport
3,277",-Trailer (Commercial),493,
Andhra Pradesh(84),2021,AUG,8,2021-08-01,75479,"Transport
3,277",-Construction Equipment Vehicle (Commercial),1,
Andhra Pradesh(84),2021,AUG,8,2021-08-01,75479,"Transport
3,277",-Maxi Cab,14,
Andhra Pradesh(84),2021,AUG,8,2021-08-01,75479,"Transport
3,277",-e-Rickshaw with Cart (G),2,
Andhra Pradesh(84),2021,AUG,8,2021-08-01,75479,"Transport
3,277",-e-Rickshaw(P),59,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Fire Tenders,3,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Articulated Vehicle,10,
